# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	452
#@/user_id	portable-rime
a 	啊	c=2 d=0.775609 t=452
a 	阿	c=3 d=2.24651 t=452
a li song 	阿利松	c=1 d=0.527292 t=452
ai ge 	哀歌	c=1 d=0.97531 t=452
an 	安	c=9 d=5.86634 t=452
an 	按	c=3 d=1.67894 t=452
an 	鞍	c=1 d=0.839457 t=452
an de 	安德	c=1 d=0.511709 t=452
ba 	吧	c=2 d=0.985526 t=452
ba 	爸	c=1 d=0.718924 t=452
bai du 	百度	c=1 d=0.301194 t=452
ban 	辦	c=2 d=0.551156 t=452
bi zhi 	壁紙	c=1 d=0.292293 t=452
bian 	扁	c=1 d=0.451581 t=452
bian cheng 	變成	c=5 d=1.67742 t=452
bo 	博	c=2 d=1.02353 t=452
bu cheng 	不成	c=1 d=0.147342 t=452
bu cheng gong 	不成功	c=1 d=0.158817 t=452
bu chu 	不出	c=1 d=0.219808 t=452
bu shi 	不是	c=2 d=1.34933 t=452
bu shu 	部署	c=4 d=1.2763 t=452
bu xian shi 	不顯示	c=2 d=0.695414 t=452
bu xiao xin 	不小心	c=1 d=0.571209 t=452
cai 	才	c=2 d=1.58122 t=452
cheng gong 	成功	c=1 d=0.15259 t=452
cheng xu 	程序	c=2 d=1.31444 t=452
chong xin 	重新	c=1 d=0.414783 t=452
chu lai 	出來	c=2 d=0.953908 t=452
chu xian 	出現	c=1 d=0.438235 t=452
chun 	純	c=4 d=0.988581 t=452
chun ying wen 	純英文	c=2 d=0.822143 t=452
ci 	茨	c=1 d=0.279431 t=452
ci ku 	詞庫	c=9 d=2.4107 t=452
cong 	從	c=1 d=0.467666 t=452
cun dang 	存檔	c=2 d=1.25644 t=452
da 	大	c=2 d=1.73429 t=452
da 	打	c=2 d=0.646127 t=452
da zi 	打字	c=1 d=0.316637 t=452
dang shi 	當時	c=0 d=0.0164474 t=452
dao 	到	c=1 d=0.472367 t=452
dao ru 	導入	c=2 d=0.331036 t=452
de 	德	c=2 d=0.763718 t=452
de 	的	c=17 d=5.48027 t=452
dian bao 	電報	c=1 d=0.188247 t=452
dong 	洞	c=1 d=0.810584 t=452
dong nan 	東南	c=1 d=0.923116 t=452
dou 	都	c=2 d=0.504481 t=452
dou ban 	豆瓣	c=2 d=1.2204 t=452
dou ding 	豆丁	c=1 d=0.546074 t=452
duan yu 	短語	c=1 d=0.946485 t=452
dui hua 	對話	c=1 d=0.271173 t=452
en 	恩	c=2 d=1.5041 t=452
er bu shi 	而不是	c=1 d=0.207008 t=452
fa 	法	c=4 d=0.707992 t=452
fan ti 	繁體	c=1 d=0.83527 t=452
fan ying 	反應	c=1 d=0.273898 t=452
fan ying 	反映	c=0 d=0.0271173 t=452
feng 	風	c=1 d=0.26982 t=452
gai hui 	改回	c=1 d=0.771052 t=452
gao chu lai 	搞出來	c=1 d=0.529935 t=452
gao le 	搞了	c=1 d=0.156453 t=452
ge 	個	c=1 d=0.341298 t=452
ge 	格	c=5 d=2.96261 t=452
gong 	宮	c=1 d=0.818731 t=452
gu 	古	c=1 d=0.697676 t=452
guo hai 	過海	c=1 d=0.282239 t=452
guo lai 	過來	c=1 d=0.364219 t=452
han yu 	漢語	c=1 d=0.600496 t=452
han zi 	漢字	c=1 d=0.22091 t=452
hao shao 	好少	c=1 d=0.336216 t=452
he 	河	c=1 d=0.479505 t=452
hen jiu 	很久	c=1 d=0.157237 t=452
hui 	會	c=1 d=0.310367 t=452
hui fu 	恢復	c=1 d=0.585669 t=452
hui shi 	回事	c=1 d=0.398519 t=452
jia 	加	c=1 d=0.238115 t=452
jia 	家	c=1 d=0.722527 t=452
jia ru 	加入	c=1 d=0.421052 t=452
jia shang 	加上	c=1 d=0.242926 t=452
jia zhao 	駕照	c=2 d=1.71725 t=452
jian die 	間諜	c=1 d=0.891366 t=452
jiao 	叫	c=1 d=0.246597 t=452
jiao cheng 	教程	c=1 d=0.402524 t=452
jiao liu 	交流	c=2 d=0.710887 t=452
jie jue 	解決	c=1 d=0.170333 t=452
