# Rime user dictionary
#@/db_name	myDict.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	1001
#@/user_id	portable-rime
Gol 	Google	c=1 d=0.102797 t=1001
a 	啊	c=5 d=1.46596 t=1001
ai pu xi ls 	ε	c=1 d=1 t=980
ai shang 	愛上	c=1 d=0.913931 t=1001
ai you 	哎呦	c=1 d=0.511709 t=1001
an zhu 	按住	c=1 d=1 t=830
ba 	吧	c=1 d=0.501576 t=1001
ba 	把	c=3 d=0.145519 t=1001
ban 	半	c=1 d=0.22313 t=1001
ban 	版	c=1 d=0.238115 t=1001
bang dao 	幫到	c=1 d=0.0485578 t=1001
bei 	被	c=2 d=1.09995 t=1001
bei zhan 	備戰	c=1 d=0.29671 t=1001
ben ke 	本科	c=1 d=1 t=720
bi jiao 	比較	c=0 d=0.0597501 t=1001
bi jiao man 	比較慢	c=1 d=0.600496 t=1001
bi ru 	比如	c=2 d=0.126372 t=1001
bi xu 	必須	c=1 d=1 t=709
bi ye 	畢業	c=1 d=1 t=730
bian cheng 	編程	c=3 d=1.11954 t=1001
bian liang 	變量	c=1 d=0.941765 t=1001
biao 	表	c=2 d=1.45841 t=857
bie 	別	c=1 d=0.767206 t=1001
bu 	不	c=1 d=0.131994 t=1001
bu fu he 	不符合	c=1 d=1 t=740
bu gai 	不改	c=1 d=0.034562 t=1001
bu jian 	不見	c=1 d=0.116484 t=1001
bu nan 	不難	c=1 d=0.559898 t=1001
bu shi 	不是	c=2 d=0.868854 t=1001
bu tai 	不太	c=1 d=1 t=769
bu yong 	不用	c=1 d=0.0430669 t=1001
cai shi 	纔是	c=2 d=0.421975 t=1001
cang 	倉	c=1 d=0.331211 t=1001
cang 	蒼	c=2 d=0.70226 t=1001
cao zuo 	操作	c=3 d=0.630989 t=1001
cha xun 	查詢	c=1 d=1 t=853
chai 	拆	c=1 d=0.852144 t=1001
chang jian 	常見	c=1 d=1 t=844
chang long 	長龍	c=1 d=0.107528 t=1001
chang shi 	嘗試	c=1 d=0.0473589 t=1001
cheng di 	稱帝	c=1 d=1 t=904
cheng gong 	成功	c=1 d=0.0736695 t=1001
cheng wei 	成爲	c=1 d=1 t=962
cheng xu 	程序	c=2 d=0.0946378 t=1001
chi 	吃	c=1 d=0.843665 t=1001
chong zhi 	重置	c=1 d=0.236928 t=1001
chu 	出	c=2 d=0.545925 t=1001
chu bu lai 	出不來	c=1 d=0.0614212 t=1001
chu xian 	出現	c=2 d=0.163433 t=1001
chu xue 	出血	c=3 d=1.50694 t=1001
chuan 	串	c=0 d=0.00944202 t=1001
chuang xin 	創新	c=1 d=0.882497 t=1001
chun 	純	c=1 d=0.603506 t=1001
ci yu 	詞語	c=0 d=0.00845849 t=1001
ci yu ti dai 	詞語替代	c=1 d=0.0850088 t=1001
cigema 	σ	c=1 d=1 t=985
cong 	蔥	c=1 d=0.075774 t=1001
cun dang 	存檔	c=1 d=0.25924 t=1001
cuo 	錯	c=1 d=1 t=951
cuo wu 	錯誤	c=3 d=2.74821 t=957
da 	大	c=3 d=1.33499 t=1001
da 	打	c=2 d=1.28985 t=1001
da an 	答案	c=1 d=1 t=941
da chu 	打出	c=2 d=0.577263 t=1001
da chu lai 	打出來	c=1 d=1 t=820
da er wen 	達爾文	c=2 d=1.95123 t=794
da ge ming 	大革命	c=1 d=1 t=881
da jian 	大劍	c=1 d=0.339596 t=1001
da lu 	大陸	c=1 d=1 t=687
da mei le 	打沒了	c=1 d=0.588605 t=1001
da sai 	大賽	c=1 d=0.404542 t=1001
da she 	大蛇	c=1 d=0.694197 t=1001
da shi 	大師	c=1 d=0.83527 t=1001
da tong guan 	打通關	c=1 d=0.396531 t=1001
dai ma 	代碼	c=2 d=1.97531 t=999
dai xuan 	代选	c=0 d=0.00889216 t=1001
dai xuan kuang 	代选框	c=1 d=0.0893673 t=1001
dan shi 	但是	c=2 d=1.42741 t=899
dao 	到	c=5 d=1.17406 t=1001
dao de 	道德	c=1 d=1 t=801
dao zhi 	導致	c=1 d=0.0735345 t=1001
dd ma gc uz 	代码高手	c=1 d=1 t=996
de 	得	c=1 d=0.748264 t=1001
de 	的	c=63 d=16.1276 t=1001
de zhou 	德州	c=1 d=1 t=714
dei 	得	c=1 d=0.138069 t=1001
deng ta 	等他	c=0 d=0.070822 t=1001
dhhm 	18306672112	c=1 d=0.0977834 t=1001
di 	第	c=2 d=1.91851 t=928
di tu 	地圖	c=2 d=0.494582 t=1001
di wei 	地位	c=1 d=1 t=884
di yi ci 	第一次	c=1 d=1 t=826
di yi ge 	第一個	c=1 d=0.0397558 t=1001
dian 	點	c=1 d=1 t=816
dian feng 	顛峯	c=1 d=0.272532 t=1001
dian lu 	電路	c=1 d=1 t=763
diao 	掉	c=1 d=0.0636074 t=1001
die 	爹	c=1 d=0.625002 t=1001
ding yi 	定義	c=1 d=0.0675424 t=1001
dong 	動	c=1 d=0.163654 t=1001
dong zuo 	動作	c=2 d=0.388743 t=1001
dou 	都	c=4 d=1.38644 t=1001
dou bu shi 	都不是	c=1 d=0.14808 t=1001
dou shi 	都是	c=2 d=0.290732 t=1001
du 	讀	c=1 d=1 t=698
du ju 	賭局	c=1 d=0.408608 t=1001
duan 	斷	c=2 d=0.711091 t=1001
duan dian 	斷電	c=1 d=1 t=710
duan wei 	短尾	c=2 d=0.644471 t=1001
duan yu 	短語	c=1 d=0.0972957 t=1001
dui 	對	c=0 d=0.0371577 t=1001
dui ying 	對應	c=1 d=1.08511 t=837
dui ying guan xi 	對應關係	c=1 d=1 t=838
dui zi ji 	對自己	c=1 d=0.373439 t=1001
dun keng 	蹲坑	c=1 d=0.181772 t=1001
duo 	多	c=1 d=1 t=874
